name,artist,album,spotify_id,duration_ms
Positive Vibration,Bob Marley & The Wailers,Rastaman Vibration,0BCDP8up6BoV6lbmN8fAxz,211240
Keep On Moving,Bob Marley & The Wailers,Natural Mystic,3gtc7wzmE8VwT5mWQT5yLH,260893
Summer Skin,Death Cab for Cutie,Plans,5vFKQF10Jhyysg3JUbfBUd,194226
Sunshine,Atmosphere,Sad Clown Bad Summer Number 9,5OmcnFH77xm4IETrbEvhlq,216546
Night Vision (feat. Isaac Hayes),Guru,Streetsoul,1ke7DyZkk4bIhIt55hQWdw,213466
Summer Madness,Kool & The Gang,Gold,1GC4g9vf7i4H7qPn8vvD5f,259053
Funky G,Jacob Fred Jazz Odyssey,Live At the Lincoln Continental,2XWYHEvbvYf6CRbjjg5CGC,446200
Live Good,African Head Charge,Acid Jazz Records: Smooth Acid Jazz,5ZegrgkLZNVIAdO9h8X4K8,218045
Stoned Immaculate,Dub Syndicate,"Johnny Was Original Motion Picture Soundtrack, Vol. 1. (Reggae from the Film)",49aWsM5My3XhySGSp8vhyY,276506
Slow Funk,Buddy Rich,No Funny Hats,1ZrROBJvve6QhHa49UjdYJ,389386
Slow Down - Original Mix,Schwarz & Funk,Best Of Lounge Music 2012,7uhtU7mgjtC9LRj0PlhmZi,386519
Slow Burn,Out Of Town,Retro Funk,2Uai3XkNmQrfZ5WwCD7Wxn,162169
Slow Greasy,Little Brian,Thrash Funk,2GBt3ON1Lq1Tj5uVsn7CDD,205826
Highway One,The Flashbulb,Soundtrack to a Vacant Life,013OOBJEMKIw9Q93yO22Un,148706
Undiscovered Colors,The Flashbulb,Arboreal,4fS4hGJcIydMZrWo68DFMf,257440
The Trees In Juarez,The Flashbulb,Opus At The End Of Everything,3qHbMGneFDhZrVxXWaEwNE,189106
God Is Speaking,The Flashbulb,Réunion,04aExYX5Li6OSokXuK8nDi,226573
Alice's Garden,The Flashbulb,Réunion,6dtIoIvEax517GkxS7wU3A,114213
