user_id,id,name,artist,album,release_date,popularity,duration_ms,explicit,uri,album_genre,artist_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,track_href,analysis_url,time_signature
clayton,3XBQciUm8idlYY3XoxlTiC,Sails to Te Fiti,Mark Mancina,Moana (Original Motion Picture Soundtrack/Deluxe Edition),2016-11-18,43,346307,False,spotify:track:3XBQciUm8idlYY3XoxlTiC,Unknown,soundtrack,0.268,0.674,10,-10.377,1,0.117,0.497,0.905,0.0754,0.158,85.715,audio_features,https://api.spotify.com/v1/tracks/3XBQciUm8idlYY3XoxlTiC,https://api.spotify.com/v1/audio-analysis/3XBQciUm8idlYY3XoxlTiC,3
clayton,3ZJnc1eGicPxRitBoC7eWZ,An Innocent Warrior,Vai Mahina,Moana (Original Motion Picture Soundtrack/Deluxe Edition),2016-11-18,63,97413,False,spotify:track:3ZJnc1eGicPxRitBoC7eWZ,Unknown,movie tunes,0.283,0.203,2,-11.228,1,0.0342,0.909,0.000661,0.11,0.18,84.656,audio_features,https://api.spotify.com/v1/tracks/3ZJnc1eGicPxRitBoC7eWZ,https://api.spotify.com/v1/audio-analysis/3ZJnc1eGicPxRitBoC7eWZ,4
clayton,3ZRiCa1ROwlxKftO79ghJ1,The Ocean Chose You,Mark Mancina,Moana (Original Motion Picture Soundtrack/Deluxe Edition),2016-11-18,50,77960,False,spotify:track:3ZRiCa1ROwlxKftO79ghJ1,Unknown,soundtrack,0.223,0.156,0,-15.763,0,0.0358,0.622,0.921,0.355,0.0352,46.112,audio_features,https://api.spotify.com/v1/tracks/3ZRiCa1ROwlxKftO79ghJ1,https://api.spotify.com/v1/audio-analysis/3ZRiCa1ROwlxKftO79ghJ1,4
clayton,3cVGedYgQGq42UbEDXxLVr,How Far I'll Go - Instrumental,Moana Karaoke,Moana (Original Motion Picture Soundtrack/Deluxe Edition),2016-11-18,42,164520,False,spotify:track:3cVGedYgQGq42UbEDXxLVr,Unknown,karaoke,0.481,0.304,9,-16.364,1,0.0388,0.531,0.85,0.243,0.0525,84.012,audio_features,https://api.spotify.com/v1/tracks/3cVGedYgQGq42UbEDXxLVr,https://api.spotify.com/v1/audio-analysis/3cVGedYgQGq42UbEDXxLVr,4
clayton,3hZJ36jOs508nezkO740EM,If I Were the Ocean,Mark Mancina,Moana (Original Motion Picture Soundtrack/Deluxe Edition),2016-11-18,45,181613,False,spotify:track:3hZJ36jOs508nezkO740EM,Unknown,soundtrack,0.0637,0.00846,9,-35.604,0,0.0411,0.948,0.123,0.102,0.0376,68.576,audio_features,https://api.spotify.com/v1/tracks/3hZJ36jOs508nezkO740EM,https://api.spotify.com/v1/audio-analysis/3hZJ36jOs508nezkO740EM,4
clayton,3pKRp4NX0YDl1bRANjJLSU,Kakamora,Mark Mancina,Moana (Original Motion Picture Soundtrack/Deluxe Edition),2016-11-18,47,273267,False,spotify:track:3pKRp4NX0YDl1bRANjJLSU,Unknown,soundtrack,0.33,0.879,1,-9.325,1,0.135,0.304,0.884,0.165,0.192,84.248,audio_features,https://api.spotify.com/v1/tracks/3pKRp4NX0YDl1bRANjJLSU,https://api.spotify.com/v1/audio-analysis/3pKRp4NX0YDl1bRANjJLSU,4
clayton,44ktOgpXT84F9XUJRWraO7,Prologue,Mark Mancina,Moana (Original Motion Picture Soundtrack/Deluxe Edition),2016-11-18,52,145440,False,spotify:track:44ktOgpXT84F9XUJRWraO7,Unknown,soundtrack,0.356,0.571,4,-14.841,0,0.0614,0.18,0.857,0.122,0.138,152.588,audio_features,https://api.spotify.com/v1/tracks/44ktOgpXT84F9XUJRWraO7,https://api.spotify.com/v1/audio-analysis/44ktOgpXT84F9XUJRWraO7,3
clayton,4D4Fhfexqg5hFyH6Zjha1r,Tala Returns - Score Demo,Mark Mancina,Moana (Original Motion Picture Soundtrack/Deluxe Edition),2016-11-18,37,75080,False,spotify:track:4D4Fhfexqg5hFyH6Zjha1r,Unknown,soundtrack,0.136,0.0779,2,-23.869,0,0.0417,0.777,0.85,0.28,0.0353,75.105,audio_features,https://api.spotify.com/v1/tracks/4D4Fhfexqg5hFyH6Zjha1r,https://api.spotify.com/v1/audio-analysis/4D4Fhfexqg5hFyH6Zjha1r,4
clayton,4QpGKXfAEIF8TquT7oF4zA,You're Welcome - Jordan Fisher/Lin-Manuel Miranda Version,Jordan Fisher,Moana (Original Motion Picture Soundtrack/Deluxe Edition),2016-11-18,57,137427,False,spotify:track:4QpGKXfAEIF8TquT7oF4zA,Unknown,post-teen pop,0.468,0.432,0,-10.382,1,0.1,0.0613,0,0.0533,0.393,101.097,audio_features,https://api.spotify.com/v1/tracks/4QpGKXfAEIF8TquT7oF4zA,https://api.spotify.com/v1/audio-analysis/4QpGKXfAEIF8TquT7oF4zA,3
clayton,4izlxzOjLPRzWy6Co5x0N0,Navigating Home,Mark Mancina,Moana (Original Motion Picture Soundtrack/Deluxe Edition),2016-11-18,41,47987,False,spotify:track:4izlxzOjLPRzWy6Co5x0N0,Unknown,soundtrack,0.19,0.396,1,-11.837,0,0.0428,0.977,0.85,0.069,0.0711,67.197,audio_features,https://api.spotify.com/v1/tracks/4izlxzOjLPRzWy6Co5x0N0,https://api.spotify.com/v1/audio-analysis/4izlxzOjLPRzWy6Co5x0N0,4
clayton,504Ip38tLo9RbbSPIuThPB,Where You Are - Demo,Lin-Manuel Miranda,Moana (Original Motion Picture Soundtrack/Deluxe Edition),2016-11-18,40,181827,False,spotify:track:504Ip38tLo9RbbSPIuThPB,Unknown,broadway,0.739,0.649,4,-8.89,1,0.118,0.776,0,0.086,0.749,118.055,audio_features,https://api.spotify.com/v1/tracks/504Ip38tLo9RbbSPIuThPB,https://api.spotify.com/v1/audio-analysis/504Ip38tLo9RbbSPIuThPB,4
