name,artist,album,spotify_id,duration_ms,explicit,uri,primary_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Beverly Hills,Weezer,Make Believe,1yKu2MhpwzDXXH2tzG6xoa,196093,False,spotify:track:1yKu2MhpwzDXXH2tzG6xoa,Unknown,0.693,0.823,5,-3.761,1,0.0726,0.0932,0,0.328,0.741,87.904,4
Say It Ain't So,Weezer,Weezer,6VoIBz0VhCyz7OdEoRYDiA,258826,False,spotify:track:6VoIBz0VhCyz7OdEoRYDiA,Unknown,0.634,0.551,3,-7.136,1,0.0352,0.00737,1.82e-05,0.07,0.453,151.779,4
1985,Bowling For Soup,A Hangover You Don't Deserve,5oQcOu1omDykbIPSdSQQNJ,193000,False,spotify:track:5oQcOu1omDykbIPSdSQQNJ,Unknown,0.606,0.887,4,-4.404,1,0.0598,0.000242,0,0.337,0.903,119.974,4
Buddy Holly,Weezer,Weezer,3mwvKOyMmG77zZRunnxp9E,159226,False,spotify:track:3mwvKOyMmG77zZRunnxp9E,Unknown,0.556,0.92,8,-4.606,1,0.0367,0.00271,0.00021,0.117,0.771,121.138,4
Gives You Hell,The All-American Rejects,When The World Comes Down,6ihL9TjfRjadfEePzXXyVF,213106,False,spotify:track:6ihL9TjfRjadfEePzXXyVF,Unknown,0.718,0.691,4,-6.44,1,0.0387,0.0159,0,0.0627,0.552,100.008,4
Dirty Little Secret,The All-American Rejects,Move Along,5lDriBxJd22IhOH9zTcFrV,193653,False,spotify:track:5lDriBxJd22IhOH9zTcFrV,Unknown,0.465,0.954,10,-4.251,1,0.044,0.000346,5.38e-06,0.573,0.458,143.85,4
"Sugar, We're Goin Down",Fall Out Boy,From Under The Cork Tree,2TfSHkHiFO4gRztVIkggkE,229093,False,spotify:track:2TfSHkHiFO4gRztVIkggkE,Unknown,0.494,0.842,7,-4.784,1,0.0843,0.00579,0,0.122,0.574,162.011,4
Stacy's Mom,Fountains Of Wayne,Welcome Interstate Managers,27L8sESb3KR79asDUBu8nW,197986,False,spotify:track:27L8sESb3KR79asDUBu8nW,Unknown,0.774,0.75,11,-4.927,0,0.0412,0.00207,1.78e-05,0.0808,0.927,118.015,4
I Write Sins Not Tragedies,Panic! At The Disco,A Fever You Can't Sweat Out,4bPQs0PHn4xbipzdPfn6du,186634,False,spotify:track:4bPQs0PHn4xbipzdPfn6du,Unknown,0.569,0.83,9,-4.106,0,0.14,0.0807,0,0.114,0.609,170.094,4
Pork And Beans,Weezer,Weezer,7wclPheMJAUKn2njmO2s3A,189400,False,spotify:track:7wclPheMJAUKn2njmO2s3A,Unknown,0.599,0.624,6,-6.622,1,0.0339,0.0109,8.06e-06,0.158,0.706,119.838,4
Sweater Weather,The Neighbourhood,I Love You.,2QjOHCTQ1Jl3zawyYOpxh6,240400,False,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,Unknown,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4
505,Arctic Monkeys,Favourite Worst Nightmare (Standard Version),58ge6dfP91o9oXMzq3XkIS,253586,False,spotify:track:58ge6dfP91o9oXMzq3XkIS,Unknown,0.52,0.852,0,-5.866,1,0.0543,0.00237,5.79e-05,0.0733,0.234,140.267,4
Cigarette Daydreams,Cage The Elephant,Melophobia,2tznHmp70DxMyr2XhWLOW0,208760,False,spotify:track:2tznHmp70DxMyr2XhWLOW0,Unknown,0.636,0.676,2,-3.442,1,0.0263,0.0807,0,0.0831,0.273,113.98,4
High Enough,K.Flay,Every Where Is Some Where,1qwno7xb5mJe71xtMS6jl2,231600,False,spotify:track:1qwno7xb5mJe71xtMS6jl2,Unknown,0.606,0.62,0,-5.005,1,0.0298,0.0301,0.0916,0.167,0.543,88.984,4
Electric Love,BØRNS,Dopamine,2GiJYvgVaD2HtM8GqD9EgQ,218106,False,spotify:track:2GiJYvgVaD2HtM8GqD9EgQ,Unknown,0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041,4
Come a Little Closer,Cage The Elephant,Melophobia,4sebUbjqbcgDSwG6PbSGI0,229346,False,spotify:track:4sebUbjqbcgDSwG6PbSGI0,Unknown,0.44,0.778,1,-1.786,0,0.0327,0.0265,1.04e-06,0.151,0.304,148.038,4
