name,artist,album,spotify_id,duration_ms
Push,Matchbox Twenty,Yourself or Someone Like You,2KVwlelhxKUy8LVV6JypH3,238666
How Far We've Come,Matchbox Twenty,Exile on Mainstream,0gbLfFlEyVHiKzlZIb0gce,212253
Unwell - 2007 Remaster,Matchbox Twenty,Exile on Mainstream,0PXWpNBYg52gABrn1qL1bD,237266
Hanging By A Moment,Lifehouse,No Name Face,0wqOReZDnrefefEsrIGeR4,216066
Here Without You,3 Doors Down,Away From The Sun,3NLrRZoMF0Lx6zTlYqeIo4,238733
When I'm Gone,3 Doors Down,Away From The Sun,3WbphvawbMZ8FyqDxYGdSQ,260333
It's Not My Time,3 Doors Down,3 Doors Down,0uybt73QFXaLCoxuVf6fhm,241960
Into The Ocean,Blue October,Foiled,2SiqlgLMfKQbczSMRp8drY,239946
Hate Me,Blue October,Foiled,1tL40tfdtUaSLek4DvDDr3,380200
Loser,3 Doors Down,The Better Life,1aC1IBAETh2XYGOE8kCC6t,264800
Dream Weaver,Gary Wright,The Dream Weaver,74DrA5fFoGSy4xgkZarZtP,256173
All the Pretty Girls,KALEO,A/B,0QQIhT6PtJ5glyn4HKNKQ6,269893
Always Alright,Alabama Shakes,Always Alright,17Jg504RgNPNgdpRkJh9Co,249169
Sad Eyes - Remastered 2002,Robert John,Classic Masters,3w3rLh6wmne91BS2rwgcog,253213
And It Stoned Me - 2013 Remaster,Van Morrison,Moondance (Deluxe Edition),3n5iUh2Z6P7cnWins22W0F,272160
Sunday Morning,Maroon 5,Songs About Jane: 10th Anniversary Edition,5qII2n90lVdPDcgXEEVHNy,244880
Sittin' At a Bar - The Original,Rehab,Southern Discomfort,3SvqR7QTCJNJutRAXzEiHv,235666
Tangerine Sky,Kottonmouth Kings,Rollin' Stoned,2U30Cro2IHiKNJTiNb4Wqd,252106
Don't Know Why,Norah Jones,Come Away With Me,6ybViy2qrO9sIi41EgRJgx,186146
America!,Bill Callahan,Apocalypse,0cfwv1fgLrFntNR9aUgY5I,333093
Hey Leonardo (She Likes Me for Me),Blessid Union Of Souls,The Singles,5ygrcmlvlj7pgPZJyAR5jF,207226
Down With The Sickness,Richard Cheese,Tuxicity,7ysIfWueKEzyhvUlAcelJz,139573
People = Shit,Richard Cheese,Aperitif For Destruction,795Mm8ChDaLOwmqLUtEbTo,123186
Tribute,Tenacious D,Tenacious D,53XBXgtdqf1gmWMm3rqV27,248053
Johnny B. Goode - 2002 Remaster,Peter Tosh,Mama Africa,5uPYEStMW3KsXnnLV7iCTw,244253
Legalize It,Peter Tosh,Legalize It (Legacy Edition),73lYI49LhfsscO33ohrGN0,279360
When the Devil Calls,Blues Saraceno,Dark Country 3,3CqdEcYe3xWopkzxQxiyIK,235957
You Can Do It,Ice Cube,At Tha Movies,1xMPwgmLHVXkIFYL0rvGiZ,259306
bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2Fxmhks0bxGSBdJ92vM42m,194087
ocean eyes,Billie Eilish,Ocean Eyes,2uIX8YMNjGMD7441kqyyNU,200560
See You Again (feat. Charlie Puth),Wiz Khalifa,See You Again (feat. Charlie Puth),2JzZzZUQj3Qff7wapcbKjc,229525
Beast Of Burden - Remastered 1994,The Rolling Stones,Some Girls,77oU2rjC5XbjQfNe3bD6so,265173
Bad News,Tom MacDonald,Bad News,77WizHcbHf2At6ELNxZ7rv,255000
Blinding Lights,The Weeknd,Blinding Lights,0sf12qNH5qcw8qpgymFOqD,201573
No Diggity,The Cleverlys,Cash Crop,5b3H9J71t73nzr73pvEWrC,351418
Smooth (feat. Rob Thomas),Santana,Supernatural (Remastered),0n2SEXB2qoRQg171q7XqeW,294986
Mother We Just Can't Get Enough,New Radicals,Maybe You've Been Brainwashed Too,5rb29MoYiBwXzXCtJ94oa1,346066
Breakfast At Tiffany's,Deep Blue Something,Nineties Party Music,5tzwYIquYvCImS6QPqLTtA,257293
Signs,Five Man Electrical Band,Absolutely Right - The Best Of Five Man Electrical Band,5KWXi2eCYsC6ofIILjvG4V,241693
How Do You Sleep?,Sam Smith,How Do You Sleep?,6b2RcmUt1g9N9mQ3CbjX2Y,202204
Ain't No Sunshine,Bill Withers,Just As I Am,1k1Bqnv2R0uJXQN4u6LKYt,125093
Lean on Me,Bill Withers,Still Bill,3M8FzayQWtkvOhqMn2V4T2,258834
Right Now,SR-71,Now You See Inside,3iwsyTZzOWHZbHffBEyi1N,167200
At Last,Etta James,At Last!,4Hhv2vrOTy89HFRcjU3QOx,179693
I Heard It Through The Grapevine,Marvin Gaye,In The Groove,1tqT6DhmsrtQgyCKUwotiw,194293
Memories (Drinks Bring Back),Ajay Stephens,Memories (Drinks Bring Back),2Lxae4E83hZdR55WTH0OQC,123924
Goodbyes (feat. Young Thug),Post Malone,Hollywood's Bleeding,0t3ZvGKlmYmVsDzBJAXK8C,174853
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,Hollywood's Bleeding,0RiRZpuVRbi7oqRdSMwhQY,157560
No Diggity,Blackstreet,Another Level,6MdqqkQ8sSC0WB4i8PyRuQ,304600
Nobody Speak,DJ Shadow,The Mountain Will Fall,2A9rFFPwsnhusCh8ZMBvYY,195965
Hard Times,Ryan Bingham,Mescalito,5Sa6LogcdRKBmxuPu1G8XE,278293
Sweet Honey,Slightly Stoopid,Everything You Need,0rjvNm2WJxKLlm0qoZmzVC,230413
Kiss,Korn,Untitled,715QPzjF9FdOqiMBE4qkyQ,249733
Savior,Rise Against,Appeal To Reason,1vcxF91pWs9uNwDROuiCPB,242280
Fight Back,NEFFEX,Fight Back: The Collection,6KigD0mlF4VGDYiSEzAyYw,200571
Brand New Love,Deadsy,Commencement,5JMwqxW7hH7sU7A7XXv1rR,274760
I Don't Care (feat. Adam Gontier),Apocalyptica,Worlds Collide,7KRnJW2x33Mb84NavoKmbh,237920
