name,artist,album,spotify_id,duration_ms,explicit,uri,primary_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
"Angry Chair - Live at the Majestic Theatre, Brooklyn, NY - April 1996",Alice In Chains,Unplugged,4Oc0UJYBAfBHiiBxQpXPH6,276240,False,spotify:track:4Oc0UJYBAfBHiiBxQpXPH6,Unknown,0.621,0.679,8,-7.961,1,0.0475,0.0632,0.000497,0.988,0.185,109.413,4
"Rooster - Live at the Majestic Theatre, Brooklyn, NY - April 1996",Alice In Chains,Unplugged,3wLCckFOrzdtH0azPbvuny,401226,False,spotify:track:3wLCckFOrzdtH0azPbvuny,Unknown,0.358,0.329,0,-11.781,0,0.0298,0.364,0.00265,0.137,0.141,145.04,4
"Got Me Wrong - Live at the Majestic Theatre, Brooklyn, NY - April 1996",Alice In Chains,Unplugged,4uc4dKehCiytR5NLTSGJXu,300000,False,spotify:track:4uc4dKehCiytR5NLTSGJXu,Unknown,0.535,0.69,8,-8.956,1,0.045,0.116,0.000113,0.73,0.293,81.871,4
"Heaven Beside You - Live at the Majestic Theatre, Brooklyn, NY - April 1996",Alice In Chains,Unplugged,6t6L6kLosuIY7Wl9cHnYpS,337866,False,spotify:track:6t6L6kLosuIY7Wl9cHnYpS,Unknown,0.651,0.701,1,-8.198,1,0.0389,0.259,2.28e-05,0.72,0.426,112.537,4
"Would? - Live at the Majestic Theatre, Brooklyn, NY - April 1996",Alice In Chains,Unplugged,7etojJg0JsetC3fSVpU3tX,223266,False,spotify:track:7etojJg0JsetC3fSVpU3tX,Unknown,0.613,0.7,10,-7.779,0,0.0283,0.0467,2.09e-06,0.702,0.467,100.743,4
"Frogs - Live at the Majestic Theatre, Brooklyn, NY - April 1996",Alice In Chains,Unplugged,5VnZbUFXpx07Ab8NWJKuMj,450173,False,spotify:track:5VnZbUFXpx07Ab8NWJKuMj,Unknown,0.574,0.398,11,-12.857,1,0.0271,0.325,0.0283,0.648,0.084,92.041,4
"Over Now - Live at the Majestic Theatre, Brooklyn, NY - April 1996",Alice In Chains,Unplugged,7JGsjryRB00XsebAyy4Hy7,432560,False,spotify:track:7JGsjryRB00XsebAyy4Hy7,Unknown,0.608,0.502,5,-10.45,0,0.0404,0.167,0.00626,0.244,0.278,111.41,4
"The Killer Is Me - Live at the Majestic Theatre, Brooklyn, NY - April 1996",Alice In Chains,Unplugged,4oiyEvPaocr27oAAp0cBai,323600,False,spotify:track:4oiyEvPaocr27oAAp0cBai,Unknown,0.468,0.682,1,-10.156,1,0.0418,0.277,0.195,0.829,0.327,121.983,4
Funeral For A Great Drunken Bird,All Them Witches,Lightning At The Door,6tWsKU4I9sC2iFIYZzZ3G7,263613,False,spotify:track:6tWsKU4I9sC2iFIYZzZ3G7,Unknown,0.199,0.717,5,-9.818,1,0.0448,0.0643,0.49,0.111,0.0341,129.841,3
The Marriage Of Coyote Woman,All Them Witches,Lightning At The Door,3SSAeecv84iCOlUCaVPifM,349613,False,spotify:track:3SSAeecv84iCOlUCaVPifM,Unknown,0.426,0.395,9,-8.653,0,0.0314,0.133,0.039,0.113,0.258,126.103,3
Swallowed By The Sea,All Them Witches,Lightning At The Door,1uFvdtmB1b9j2SIUlTOfNi,502866,False,spotify:track:1uFvdtmB1b9j2SIUlTOfNi,Unknown,0.252,0.625,5,-10.701,0,0.0429,0.0248,0.0232,0.0694,0.0412,88.266,4
Charles William,All Them Witches,Lightning At The Door,5RFxXhOOTnNkrKyP9Mjb8L,345119,False,spotify:track:5RFxXhOOTnNkrKyP9Mjb8L,Unknown,0.425,0.704,2,-8.544,1,0.045,0.00775,0.013,0.0975,0.0901,151.424,4
The Death Of Coyote Woman,All Them Witches,Lightning At The Door,4dlgPGZ8ankqnrG9YnfGIW,491999,False,spotify:track:4dlgPGZ8ankqnrG9YnfGIW,Unknown,0.278,0.588,10,-10.722,0,0.0325,0.00188,0.447,0.154,0.184,167.276,4
Romany Dagger,All Them Witches,Lightning At The Door,3DZ1PuqLRM2sQGIXRZFkFt,166119,False,spotify:track:3DZ1PuqLRM2sQGIXRZFkFt,Unknown,0.454,0.83,8,-9.551,1,0.0546,0.000353,0.000735,0.0397,0.589,118.047,4
Mountain,All Them Witches,Lightning At The Door,7oF4ei4189AOKZoxwDkHMU,377239,False,spotify:track:7oF4ei4189AOKZoxwDkHMU,Unknown,0.39,0.493,1,-10.415,1,0.0366,0.00408,0.0493,0.0887,0.21,137.302,4
Romany Dagger (Remended),All Them Witches,Lightning At The Door,6vBTnVeCFeIOJNHnQ9zPj0,256243,False,spotify:track:6vBTnVeCFeIOJNHnQ9zPj0,Unknown,0.276,0.889,8,-6.549,1,0.0659,0.018,0.0613,0.103,0.184,118.129,4
Surface-To-Air Whistle,All Them Witches,Lightning At The Door,4NkoSEz36hCX3rlUowsXue,378705,False,spotify:track:4NkoSEz36hCX3rlUowsXue,Unknown,0.364,0.717,2,-9.745,1,0.0317,0.00476,0.766,0.12,0.611,155.284,4
Because The End Is Really The Beginning,The Comet Is Coming,Trust In The Lifeforce Of The Deep Mystery,4yTF3ezhsvgyEpAYTKqFUt,288973,False,spotify:track:4yTF3ezhsvgyEpAYTKqFUt,Unknown,0.112,0.407,0,-10.919,1,0.0311,0.866,0.905,0.11,0.0362,93.089,4
Birth Of Creation,The Comet Is Coming,Trust In The Lifeforce Of The Deep Mystery,3CuOokDRR0Z2r1WaPRXKaF,304266,False,spotify:track:3CuOokDRR0Z2r1WaPRXKaF,Unknown,0.4,0.659,0,-6.248,1,0.0552,0.524,0.852,0.143,0.207,76.278,4
Summon The Fire,The Comet Is Coming,Trust In The Lifeforce Of The Deep Mystery,5c44MldQ2CvroamP73V1lp,235200,False,spotify:track:5c44MldQ2CvroamP73V1lp,Unknown,0.537,0.786,8,-7.035,1,0.0407,0.00427,0.697,0.893,0.451,165.395,4
Blood Of The Past,The Comet Is Coming,Trust In The Lifeforce Of The Deep Mystery,1st2ldrAppYwbJmbXucFhD,495400,False,spotify:track:1st2ldrAppYwbJmbXucFhD,Unknown,0.331,0.694,0,-7.29,1,0.0435,0.0231,0.073,0.145,0.068,111.443,3
Super Zodiac,The Comet Is Coming,Trust In The Lifeforce Of The Deep Mystery,26qvxre8pKtLTatKPYAR8Q,241680,False,spotify:track:26qvxre8pKtLTatKPYAR8Q,Unknown,0.556,0.878,7,-7.684,1,0.0538,0.0308,0.915,0.222,0.0653,124.221,3
